parameter,Pearson's coefficient,Pearson's p-value
num_coord,0.0447,0.2005
num_poss,0.0583,0.0944
num_tu,0.0746,0.0323
num_part_noun,-0.0269,0.4402
num_noun_inf,0.0096,0.7839
pos_sim_nei,-0.0368,0.2918
lemma_sim_nei,-0.047,0.1782
pos_sim_all,-0.0304,0.3839
lemma_sim_all,-0.0424,0.2245
