parameter,Pearson's coefficient
num_coord,0.04466482237986252
num_poss,0.05834758502812365
num_tu,0.07461988779069481
num_part_noun,-0.026940589459160478
num_noun_inf,0.009572383781098655
pos_sim_nei,-0.03679302125915514
lemma_sim_nei,-0.046978797865127424
pos_sim_all,-0.03039334201476242
lemma_sim_all,-0.042381446136524864
