"name","num_of_errors","num_coord","num_poss","num_tu","num_part_noun","num_noun_inf","pos_sim_nei","lemma_sim_nei","pos_sim_all","lemma_sim_all"
"ESha_26_2.txt",2,3,18,19,2,3,16.9230769230769,21.6923076923077,19.5520552097475,25.0242078434386
"ESha_27_2.txt",0,7,9,13,1,2,18.375,25,22.2363095238095,28.9909226190476
"ESha_28_2.txt",0,7,17,28,0,0,11.8947368421053,14.8947368421053,11.5853452860847,15.0054313534943
"ESha_29_2.txt",0,10,16,26,0,3,12.5,15.9444444444444,11.5663539664765,15.3331576239664
"ESha_3_2.txt",0,12,8,20,1,4,13,17.8823529411765,14.9393904106274,19.1979792170536
"ESha_30_2.txt",0,9,8,20,0,3,18,23.6666666666667,18.679329004329,24.2417658730159
"ESha_31_2.txt",0,7,11,23,4,3,14.4375,18.375,13.9327738233988,18.1234275273338
"ESha_32_2.txt",3,2,9,12,0,1,12.8,18.1,12.7645634920635,18.0976587301587
"ESha_33_2.txt",1,6,8,24,0,3,17.1428571428571,22.3571428571429,19.4245324120324,25.5882167435739
"ESha_34_2.txt",1,8,9,18,0,4,22.0833333333333,28.6666666666667,22.1679954304954,28.3383237133237
"ESha_35_2.txt",0,6,34,19,4,2,17.8666666666667,25.4666666666667,18.638781958782,27.0671848521849
"ESha_36_2.txt",1,3,23,18,3,7,17.8461538461538,24.4615384615385,17.5306565229642,23.2603972950127
"ESha_37_2.txt",0,5,12,21,0,4,16.2222222222222,20.5555555555556,17.2872015602408,22.0239865073198
"ESha_38_2.txt",1,9,17,17,0,3,18,23.6153846153846,15.4985204965974,21.5342561284869
"ESha_39_2.txt",0,5,11,17,3,1,18.8571428571429,23.9285714285714,20.4861257789829,26.4779183118469
"ESha_4_2.txt",0,5,18,19,0,1,10,14.05,10.8241963630625,14.7454495111442
"ESha_40_2.txt",5,5,11,18,0,4,17.6363636363636,23.5454545454545,17.6924209628755,23.2121343303161
"ESha_41_2.txt",7,4,20,29,0,2,13.0952380952381,16.2380952380952,12.2711532899669,15.9086494392056
"ESha_42_2.txt",2,6,16,20,1,4,15.0666666666667,20.1333333333333,16.913369038369,22.6754538054538
"ESha_43_2.txt",0,7,9,19,0,4,15.6,21.4,17.5650865800866,23.8331031931032
"ESha_44_2.txt",4,7,23,17,2,4,16.5,21.875,18.5546378968254,23.7598136238761
"ESha_45_2.txt",1,9,12,15,0,4,24.9230769230769,30.6923076923077,30.3348595848596,36.9652437306283
"ESha_46_2.txt",0,3,27,21,5,2,16.8461538461538,23,17.395336287644,23.7030629626783
"ESha_47_2.txt",0,3,17,18,0,3,18.0666666666667,23.3333333333333,17.4565467865468,23.3532380582381
